"jurisdiccion","fecha_sentencia","anio_sentencia","estado_sentencia","no_discriminacion","vida_sin_violencia","situacion_vulnerabilidad","tutela_judicial","politicos","educacion","trabajo","sexuales","civiles_patrimoniales","no_discrim_familia","materia","autos","quien_presenta","colectivo_o_individual","contra","reseña","unanimidad","voto","nombre_juez","sexo","anio_nacimiento","edad","año_ingreso_cj","antiguedad_cj","anio_ingreso_cargo","antiguedad_cargo","medidas_protectivas","aclaratoria_1","prueba","aclaratoria_2","normativa","aclaratoria_3","argumentacion","aclaratoria_4","reparacion","aclaratoria_5","link_sentencia","link_bio"
"Buenos Aires","6/6/2011","2011","Firme","0","0","0","0","0","0","0","0","1","0","Civil","B., D. CONTRA S., M. R. DISOLUCIÓN Y LIQUIDACIÓN DE SOCIEDAD","Persona","Individual","Individual","Una mujer inició demanda contra quien fuera su concubino solicitando la disolución y liquidación de una sociedad de hecho que, sostiene, ambos compartían, dado que ella realizaba tareas en el comercio con comunidad de aportes, pérdidas y ganancias. La Cámara de Apelación revocó el fallo de primera instancia que había hecho lugar a la demanda. La Corte Suprema de Justicia confirmó la sentencia de primera instancia.","1","1","Eduardo de Lázzarri","0","1945","66","1991","20","1997","14","1","No se requerían","0","En el sub lite la recurrente se agravia respecto al modo en que se ha apreciado la prueba rendida en autos, alegando que se han quebrado las reglas de la sana crítica al prescindir de elementos de prueba esenciales: prueba documental (cartas misivas), prueba confesional del demandado, prueba informativa (informes bancarios), 1398/1402). prueba testimonial y presunciones","0","No se hace uso de normativa internacional que enmarque a la desigualdad económica estructural de las mujeres","0","Si bien el juez es soberano en la apreciación de la prueba y en considerar unas y descartar otras: en la especie surge a todas luces absurdo que, a la par que se admite la existencia de una relación personal y sentimental de casi 30 años mediante la cual tuvieron hijos en común y, por ende, un proyecto de vida; y además se admite que la actora tuvo una presencia activa en la empresa que redundó en beneficio no sólo del grupo familiar sino por experiencia y lógica consecuencia de la misma empresa comercial, por otro lado se sostenga que no se logra advertir que tales tareas no sean un aporte industrial -obligación de hacer- a la sociedad de hecho.
(...) Teniendo en cuenta lo expresado hasta aquí y por las razones expuestas, el absurdo se ha patentizado en la sentencia en crisis. Conforme a ello entiendo que resulta superfluo el tratamiento de los demás agravios, proponiendo entonces que el fallo impugnado sea revocado, confirmándose lo resuelto por la primera instancia; costas a la parte vencida ","1","Satisfacción: reparación respecto de la medida tomada por la Cámara","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verSentenciaExterna.html?idJurisprudencia=1151","https://www.infobae.com/sociedad/2021/04/19/murio-eduardo-de-lazzari-ex-juez-de-la-corte-suprema-bonaerense-tras-contagiarse-de-coronavirus/ ; http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do;jsessionid=8E49E21C3505B6D0C08EACE8CD1D0B14?id=6752"
"Buenos Aires","6/6/2011","2011","Firme","0","0","0","0","0","0","0","0","1","0","Civil","B., D. CONTRA S., M. R. DISOLUCIÓN Y LIQUIDACIÓN DE SOCIEDAD","Persona","Individual","Individual","Una mujer inició demanda contra quien fuera su concubino solicitando la disolución y liquidación de una sociedad de hecho que, sostiene, ambos compartían, dado que ella realizaba tareas en el comercio con comunidad de aportes, pérdidas y ganancias. La Cámara de Apelación revocó el fallo de primera instancia que había hecho lugar a la demanda. La Corte Suprema de Justicia confirmó la sentencia de primera instancia.","1","1","Juan Carlos Hitters","0","1941","70","1994","17","1994","17","1","No se requerían","0","En el sub lite la recurrente se agravia respecto al modo en que se ha apreciado la prueba rendida en autos, alegando que se han quebrado las reglas de la sana crítica al prescindir de elementos de prueba esenciales: prueba documental (cartas misivas), prueba confesional del demandado, prueba informativa (informes bancarios), 1398/1402). prueba testimonial y presunciones","0","No se hace uso de normativa internacional que enmarque a la desigualdad económica estructural de las mujeres","0","Si bien el juez es soberano en la apreciación de la prueba y en considerar unas y descartar otras: en la especie surge a todas luces absurdo que, a la par que se admite la existencia de una relación personal y sentimental de casi 30 años mediante la cual tuvieron hijos en común y, por ende, un proyecto de vida; y además se admite que la actora tuvo una presencia activa en la empresa que redundó en beneficio no sólo del grupo familiar sino por experiencia y lógica consecuencia de la misma empresa comercial, por otro lado se sostenga que no se logra advertir que tales tareas no sean un aporte industrial -obligación de hacer- a la sociedad de hecho.
(...) Teniendo en cuenta lo expresado hasta aquí y por las razones expuestas, el absurdo se ha patentizado en la sentencia en crisis. Conforme a ello entiendo que resulta superfluo el tratamiento de los demás agravios, proponiendo entonces que el fallo impugnado sea revocado, confirmándose lo resuelto por la primera instancia; costas a la parte vencida ","1","Satisfacción: reparación respecto de la medida tomada por la Cámara","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verSentenciaExterna.html?idJurisprudencia=1151","https://www.scba.gov.ar/institucional/nota.asp?expre=El%20Ministro%20Dr.%20Juan%20Carlos%20Hitters%20asume%20la%20Presidencia%20de%20la%20Suprema%20Corte%20de%20la%20Provincia%20de%20Buenos%20Aires ; https://www.eldia.com/nota/2016-8-31-se-jubila-el-ministro-de-la-corte-bonaerense-juan-carlos-hitters"
"Buenos Aires","6/6/2011","2011","Firme","0","0","0","0","0","0","0","0","1","0","Civil","B., D. CONTRA S., M. R. DISOLUCIÓN Y LIQUIDACIÓN DE SOCIEDAD","Persona","Individual","Individual","Una mujer inició demanda contra quien fuera su concubino solicitando la disolución y liquidación de una sociedad de hecho que, sostiene, ambos compartían, dado que ella realizaba tareas en el comercio con comunidad de aportes, pérdidas y ganancias. La Cámara de Apelación revocó el fallo de primera instancia que había hecho lugar a la demanda. La Corte Suprema de Justicia confirmó la sentencia de primera instancia.","1","1","Héctor Negri","0","1941","70","1983","28","1983","28","1","No se requerían","0","En el sub lite la recurrente se agravia respecto al modo en que se ha apreciado la prueba rendida en autos, alegando que se han quebrado las reglas de la sana crítica al prescindir de elementos de prueba esenciales: prueba documental (cartas misivas), prueba confesional del demandado, prueba informativa (informes bancarios), 1398/1402). prueba testimonial y presunciones","0","No se hace uso de normativa internacional que enmarque a la desigualdad económica estructural de las mujeres","0","Si bien el juez es soberano en la apreciación de la prueba y en considerar unas y descartar otras: en la especie surge a todas luces absurdo que, a la par que se admite la existencia de una relación personal y sentimental de casi 30 años mediante la cual tuvieron hijos en común y, por ende, un proyecto de vida; y además se admite que la actora tuvo una presencia activa en la empresa que redundó en beneficio no sólo del grupo familiar sino por experiencia y lógica consecuencia de la misma empresa comercial, por otro lado se sostenga que no se logra advertir que tales tareas no sean un aporte industrial -obligación de hacer- a la sociedad de hecho.
(...) Teniendo en cuenta lo expresado hasta aquí y por las razones expuestas, el absurdo se ha patentizado en la sentencia en crisis. Conforme a ello entiendo que resulta superfluo el tratamiento de los demás agravios, proponiendo entonces que el fallo impugnado sea revocado, confirmándose lo resuelto por la primera instancia; costas a la parte vencida ","1","Satisfacción: reparación respecto de la medida tomada por la Cámara","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verSentenciaExterna.html?idJurisprudencia=1151","https://www.pagina12.com.ar/242282-fallecio-hector-negri-juez-de-la-suprema-corte"
"Buenos Aires","6/6/2011","2011","Firme","0","0","0","0","0","0","0","0","1","0","Civil","B., D. CONTRA S., M. R. DISOLUCIÓN Y LIQUIDACIÓN DE SOCIEDAD","Persona","Individual","Individual","Una mujer inició demanda contra quien fuera su concubino solicitando la disolución y liquidación de una sociedad de hecho que, sostiene, ambos compartían, dado que ella realizaba tareas en el comercio con comunidad de aportes, pérdidas y ganancias. La Cámara de Apelación revocó el fallo de primera instancia que había hecho lugar a la demanda. La Corte Suprema de Justicia confirmó la sentencia de primera instancia.","1","1","Eduardo Pettigiani","0","1946","65","1982","29","1996","15","1","No se requerían","0","En el sub lite la recurrente se agravia respecto al modo en que se ha apreciado la prueba rendida en autos, alegando que se han quebrado las reglas de la sana crítica al prescindir de elementos de prueba esenciales: prueba documental (cartas misivas), prueba confesional del demandado, prueba informativa (informes bancarios), 1398/1402). prueba testimonial y presunciones","0","No se hace uso de normativa internacional que enmarque a la desigualdad económica estructural de las mujeres","0","Si bien el juez es soberano en la apreciación de la prueba y en considerar unas y descartar otras: en la especie surge a todas luces absurdo que, a la par que se admite la existencia de una relación personal y sentimental de casi 30 años mediante la cual tuvieron hijos en común y, por ende, un proyecto de vida; y además se admite que la actora tuvo una presencia activa en la empresa que redundó en beneficio no sólo del grupo familiar sino por experiencia y lógica consecuencia de la misma empresa comercial, por otro lado se sostenga que no se logra advertir que tales tareas no sean un aporte industrial -obligación de hacer- a la sociedad de hecho.
(...) Teniendo en cuenta lo expresado hasta aquí y por las razones expuestas, el absurdo se ha patentizado en la sentencia en crisis. Conforme a ello entiendo que resulta superfluo el tratamiento de los demás agravios, proponiendo entonces que el fallo impugnado sea revocado, confirmándose lo resuelto por la primera instancia; costas a la parte vencida ","1","Satisfacción: reparación respecto de la medida tomada por la Cámara","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verSentenciaExterna.html?idJurisprudencia=1151","https://www.pagina12.com.ar/363615-renuncio-eduardo-pettigiani-ministro-de-la-corte-suprema-bon ; https://www.letrap.com.ar/nota/2021-3-3-14-0-0-crisis-oportunidad-kicillof-y-el-desafio-de-reconstruir-la-corte#:~:text=El%20cuerpo%20qued%C3%B3%20integrado%20por,para%20acceder%20a%20una%20jubilaci%C3%B3n. ; https://www.scba.gov.ar/institucional/nota.asp?expre=El%20Dr.%20Eduardo%20Julio%20Pettigiani%20asume%20la%20Presidencia%20de%20la%20Suprema%20Corte%20de%20Justicia"
"Buenos Aires","2/12/2009","2009","Firme","0","0","0","0","0","0","1","0","0","0","Laboral","A,C.D.L. c/ F.,J.B. s/ DESPIDO","Persona","Individual","Individual","Se interpuso recurso extraordinario de inaplicabilidad de ley contra la sentencia que rechazó la demanda impetrada por una mujer por cobro de indemnización por antigüedad y sustitutiva de preaviso, integración del mes de despido, sueldo anual complementario, vacaciones, asignaciones familiares, diferencias salariales e indemnización especial por despido por embarazo (conf. art. 178 de la LCT). La Suprema Corte hizo lugar parcialmente al recurso y revocó la sentencia impugnada.","1","1","Eduardo Pettigiani","0","1946","63","1982","27","1996","13","1","No se requerían","0","Estas ostensibles evidencias conducen a sostener válidamente, en conclusión despojada de ritualismos e ignorancias puramente fictas, que el principal hubo de encontrarse en su oportunidad en conocimiento de la gravidez de su dependiente, dada la inocultable notoriedad inherente a un estado de embarazo avanzado. Luego, debió inferir por lógica y natural consecuencia cuanto menos, que el alumbramiento se había producido, aunque ignorase con certeza su resultado. Por ello, he de concluir que el principal sabía de tales acontecimientos. Desde esta óptica, siendo que la télesis de los preceptos en juego la constituye la protección de la maternidad","1","Armoniza con lo sostenido, lo declarado por esta Corte en el sentido que la comunicación prevista por el art. 178 de la Ley de Contrato de Trabajo no implica otra cosa que el fehaciente conocimiento por el empleador del estado de embarazo de la mujer trabajadora para evitar, precisamente, que durante el período legalmente previsto adopte medidas que puedan involucrar la rescisión del contrato de trabajo , lo que justifica el recaudo de acreditar dicho embarazo, o bien la facultad de la mujer empleada de solicitar la revisión por el médico patronal (conf. causas L. 37.329, sent. del 9VI1987; L. 70.606, sent. del 22XI2000). Bajo este prisma, el alcance y se ntido hermenéutico que propugno en atención a las particularidades del caso se engarza cómodamente con el fin primordial que tuvo en miras el legislador al imponer el recaudo de la notificación auténtica: el cabal conocimiento por parte del empleador del e mbarazo y del nacimiento. Lo dicho se ve substancialmente fortalecido en la especie bajo el influjo de las normas de jerarquía constitucional que amparan a la maternidad como bien jurídico tutelable (arts. 36, Constitución provincial; 14 bis y 75 inc. 22, Constitución nacional); Declaración Universal de Derechos Humanos (art. 25.2); Declaración Americana de los Derechos y Deberes del Hombre (art. VII); Convención sobre la Eliminación de todas las formas de discriminación contra la mujer (art. 11.2)","1","En estas condiciones, le asiste razón al recurrente cuanto invoca la violación del precepto en cuestión, desde que justificado el despido indirecto de la mujer trabajadora en estado de maternidad, vigente el plazo de ley y encontrándose acreditado los demás recaudos que exige la norma referida tal y como acontece en la especie debe interpretarse, por expreso mandato del legislador, que la extinción del contrato también obedece a causa de la maternidad ","1","Indemnización: Por lo expuesto en el acuerdo que antecede, se hace lugar parcialmente al recurso extraordinario de inaplicabilidad de ley traído y se revoca la sentencia impugnada en cuanto rechazó la demanda promovida por C. d. L. A. contra J. B. F. en concepto de diferencias salariales, indemnizaciones por antigüedad y omisión de preaviso, integración del mes de despido, sanciones previstas por los arts. 8 y 15 de la ley 24.013 e indemnización especial del art. 182 de la Ley de Contrato de Trabajo (t.o.) reclamos cuya procedencia se declara. Vuelvan los autos al tribunal de origen para que éste practique la pertinente liquidación. Costas de ambas instancias a la demandada","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verDoc.html?idJuri=774",""
"Buenos Aires","2/12/2009","2009","Firme","0","0","0","0","0","0","1","0","0","0","Laboral","A,C.D.L. c/ F.,J.B. s/ DESPIDO","Persona","Individual","Individual","Se interpuso recurso extraordinario de inaplicabilidad de ley contra la sentencia que rechazó la demanda impetrada por una mujer por cobro de indemnización por antigüedad y sustitutiva de preaviso, integración del mes de despido, sueldo anual complementario, vacaciones, asignaciones familiares, diferencias salariales e indemnización especial por despido por embarazo (conf. art. 178 de la LCT). La Suprema Corte hizo lugar parcialmente al recurso y revocó la sentencia impugnada.","1","1","Hilda Kogan","1","1945","64","1996","13","2002","7","1","No se requerían","0","Estas ostensibles evidencias conducen a sostener válidamente, en conclusión despojada de ritualismos e ignorancias puramente fictas, que el principal hubo de encontrarse en su oportunidad en conocimiento de la gravidez de su dependiente, dada la inocultable notoriedad inherente a un estado de embarazo avanzado. Luego, debió inferir por lógica y natural consecuencia cuanto menos, que el alumbramiento se había producido, aunque ignorase con certeza su resultado. Por ello, he de concluir que el principal sabía de tales acontecimientos. Desde esta óptica, siendo que la télesis de los preceptos en juego la constituye la protección de la maternidad","1","Armoniza con lo sostenido, lo declarado por esta Corte en el sentido que la comunicación prevista por el art. 178 de la Ley de Contrato de Trabajo no implica otra cosa que el fehaciente conocimiento por el empleador del estado de embarazo de la mujer trabajadora para evitar, precisamente, que durante el período legalmente previsto adopte medidas que puedan involucrar la rescisión del contrato de trabajo , lo que justifica el recaudo de acreditar dicho embarazo, o bien la facultad de la mujer empleada de solicitar la revisión por el médico patronal (conf. causas L. 37.329, sent. del 9VI1987; L. 70.606, sent. del 22XI2000). Bajo este prisma, el alcance y se ntido hermenéutico que propugno en atención a las particularidades del caso se engarza cómodamente con el fin primordial que tuvo en miras el legislador al imponer el recaudo de la notificación auténtica: el cabal conocimiento por parte del empleador del e mbarazo y del nacimiento. Lo dicho se ve substancialmente fortalecido en la especie bajo el influjo de las normas de jerarquía constitucional que amparan a la maternidad como bien jurídico tutelable (arts. 36, Constitución provincial; 14 bis y 75 inc. 22, Constitución nacional); Declaración Universal de Derechos Humanos (art. 25.2); Declaración Americana de los Derechos y Deberes del Hombre (art. VII); Convención sobre la Eliminación de todas las formas de discriminación contra la mujer (art. 11.2)","1","En estas condiciones, le asiste razón al recurrente cuanto invoca la violación del precepto en cuestión, desde que justificado el despido indirecto de la mujer trabajadora en estado de maternidad, vigente el plazo de ley y encontrándose acreditado los demás recaudos que exige la norma referida tal y como acontece en la especie debe interpretarse, por expreso mandato del legislador, que la extinción del contrato también obedece a causa de la maternidad ","1","Indemnización: Por lo expuesto en el acuerdo que antecede, se hace lugar parcialmente al recurso extraordinario de inaplicabilidad de ley traído y se revoca la sentencia impugnada en cuanto rechazó la demanda promovida por C. d. L. A. contra J. B. F. en concepto de diferencias salariales, indemnizaciones por antigüedad y omisión de preaviso, integración del mes de despido, sanciones previstas por los arts. 8 y 15 de la ley 24.013 e indemnización especial del art. 182 de la Ley de Contrato de Trabajo (t.o.) reclamos cuya procedencia se declara. Vuelvan los autos al tribunal de origen para que éste practique la pertinente liquidación. Costas de ambas instancias a la demandada","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verDoc.html?idJuri=774","https://www.fundacionkonex.org/b5015-hilda-kogan "
"Buenos Aires","2/12/2009","2009","Firme","0","0","0","0","0","0","1","0","0","0","Laboral","A,C.D.L. c/ F.,J.B. s/ DESPIDO","Persona","Individual","Individual","Se interpuso recurso extraordinario de inaplicabilidad de ley contra la sentencia que rechazó la demanda impetrada por una mujer por cobro de indemnización por antigüedad y sustitutiva de preaviso, integración del mes de despido, sueldo anual complementario, vacaciones, asignaciones familiares, diferencias salariales e indemnización especial por despido por embarazo (conf. art. 178 de la LCT). La Suprema Corte hizo lugar parcialmente al recurso y revocó la sentencia impugnada.","1","1","Luis Esteban Genoud","0","1946","63","2002","7","2002","7","1","No se requerían","0","Estas ostensibles evidencias conducen a sostener válidamente, en conclusión despojada de ritualismos e ignorancias puramente fictas, que el principal hubo de encontrarse en su oportunidad en conocimiento de la gravidez de su dependiente, dada la inocultable notoriedad inherente a un estado de embarazo avanzado. Luego, debió inferir por lógica y natural consecuencia cuanto menos, que el alumbramiento se había producido, aunque ignorase con certeza su resultado. Por ello, he de concluir que el principal sabía de tales acontecimientos. Desde esta óptica, siendo que la télesis de los preceptos en juego la constituye la protección de la maternidad","1","Armoniza con lo sostenido, lo declarado por esta Corte en el sentido que la comunicación prevista por el art. 178 de la Ley de Contrato de Trabajo no implica otra cosa que el fehaciente conocimiento por el empleador del estado de embarazo de la mujer trabajadora para evitar, precisamente, que durante el período legalmente previsto adopte medidas que puedan involucrar la rescisión del contrato de trabajo , lo que justifica el recaudo de acreditar dicho embarazo, o bien la facultad de la mujer empleada de solicitar la revisión por el médico patronal (conf. causas L. 37.329, sent. del 9VI1987; L. 70.606, sent. del 22XI2000). Bajo este prisma, el alcance y se ntido hermenéutico que propugno en atención a las particularidades del caso se engarza cómodamente con el fin primordial que tuvo en miras el legislador al imponer el recaudo de la notificación auténtica: el cabal conocimiento por parte del empleador del e mbarazo y del nacimiento. Lo dicho se ve substancialmente fortalecido en la especie bajo el influjo de las normas de jerarquía constitucional que amparan a la maternidad como bien jurídico tutelable (arts. 36, Constitución provincial; 14 bis y 75 inc. 22, Constitución nacional); Declaración Universal de Derechos Humanos (art. 25.2); Declaración Americana de los Derechos y Deberes del Hombre (art. VII); Convención sobre la Eliminación de todas las formas de discriminación contra la mujer (art. 11.2)","1","En estas condiciones, le asiste razón al recurrente cuanto invoca la violación del precepto en cuestión, desde que justificado el despido indirecto de la mujer trabajadora en estado de maternidad, vigente el plazo de ley y encontrándose acreditado los demás recaudos que exige la norma referida tal y como acontece en la especie debe interpretarse, por expreso mandato del legislador, que la extinción del contrato también obedece a causa de la maternidad ","1","Indemnización: Por lo expuesto en el acuerdo que antecede, se hace lugar parcialmente al recurso extraordinario de inaplicabilidad de ley traído y se revoca la sentencia impugnada en cuanto rechazó la demanda promovida por C. d. L. A. contra J. B. F. en concepto de diferencias salariales, indemnizaciones por antigüedad y omisión de preaviso, integración del mes de despido, sanciones previstas por los arts. 8 y 15 de la ley 24.013 e indemnización especial del art. 182 de la Ley de Contrato de Trabajo (t.o.) reclamos cuya procedencia se declara. Vuelvan los autos al tribunal de origen para que éste practique la pertinente liquidación. Costas de ambas instancias a la demandada","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verDoc.html?idJuri=774","https://www.scba.gov.ar/paginas.asp?id=42676 ; https://www.elcohetealaluna.com/un-supremo-represor/"
"Buenos Aires","2/12/2009","2009","Firme","0","0","0","0","0","0","1","0","0","0","Laboral","A,C.D.L. c/ F.,J.B. s/ DESPIDO","Persona","Individual","Individual","Se interpuso recurso extraordinario de inaplicabilidad de ley contra la sentencia que rechazó la demanda impetrada por una mujer por cobro de indemnización por antigüedad y sustitutiva de preaviso, integración del mes de despido, sueldo anual complementario, vacaciones, asignaciones familiares, diferencias salariales e indemnización especial por despido por embarazo (conf. art. 178 de la LCT). La Suprema Corte hizo lugar parcialmente al recurso y revocó la sentencia impugnada.","1","1","Eduardo de Lázzari","0","1945","64","1991","18","1997","12","1","No se requerían","0","Estas ostensibles evidencias conducen a sostener válidamente, en conclusión despojada de ritualismos e ignorancias puramente fictas, que el principal hubo de encontrarse en su oportunidad en conocimiento de la gravidez de su dependiente, dada la inocultable notoriedad inherente a un estado de embarazo avanzado. Luego, debió inferir por lógica y natural consecuencia cuanto menos, que el alumbramiento se había producido, aunque ignorase con certeza su resultado. Por ello, he de concluir que el principal sabía de tales acontecimientos. Desde esta óptica, siendo que la télesis de los preceptos en juego la constituye la protección de la maternidad","1","Armoniza con lo sostenido, lo declarado por esta Corte en el sentido que la comunicación prevista por el art. 178 de la Ley de Contrato de Trabajo no implica otra cosa que el fehaciente conocimiento por el empleador del estado de embarazo de la mujer trabajadora para evitar, precisamente, que durante el período legalmente previsto adopte medidas que puedan involucrar la rescisión del contrato de trabajo , lo que justifica el recaudo de acreditar dicho embarazo, o bien la facultad de la mujer empleada de solicitar la revisión por el médico patronal (conf. causas L. 37.329, sent. del 9VI1987; L. 70.606, sent. del 22XI2000). Bajo este prisma, el alcance y se ntido hermenéutico que propugno en atención a las particularidades del caso se engarza cómodamente con el fin primordial que tuvo en miras el legislador al imponer el recaudo de la notificación auténtica: el cabal conocimiento por parte del empleador del e mbarazo y del nacimiento. Lo dicho se ve substancialmente fortalecido en la especie bajo el influjo de las normas de jerarquía constitucional que amparan a la maternidad como bien jurídico tutelable (arts. 36, Constitución provincial; 14 bis y 75 inc. 22, Constitución nacional); Declaración Universal de Derechos Humanos (art. 25.2); Declaración Americana de los Derechos y Deberes del Hombre (art. VII); Convención sobre la Eliminación de todas las formas de discriminación contra la mujer (art. 11.2)","1","En estas condiciones, le asiste razón al recurrente cuanto invoca la violación del precepto en cuestión, desde que justificado el despido indirecto de la mujer trabajadora en estado de maternidad, vigente el plazo de ley y encontrándose acreditado los demás recaudos que exige la norma referida tal y como acontece en la especie debe interpretarse, por expreso mandato del legislador, que la extinción del contrato también obedece a causa de la maternidad ","1","Indemnización: Por lo expuesto en el acuerdo que antecede, se hace lugar parcialmente al recurso extraordinario de inaplicabilidad de ley traído y se revoca la sentencia impugnada en cuanto rechazó la demanda promovida por C. d. L. A. contra J. B. F. en concepto de diferencias salariales, indemnizaciones por antigüedad y omisión de preaviso, integración del mes de despido, sanciones previstas por los arts. 8 y 15 de la ley 24.013 e indemnización especial del art. 182 de la Ley de Contrato de Trabajo (t.o.) reclamos cuya procedencia se declara. Vuelvan los autos al tribunal de origen para que éste practique la pertinente liquidación. Costas de ambas instancias a la demandada","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verDoc.html?idJuri=774",""
"Buenos Aires","20/9/2006","2006","Firme","0","1","1","1","0","0","0","0","0","0","Medidas protectivas","O., N. L. PROTECCION CONTRA LA VIOLENCIA FAMILIAR (LEY 12.569)","Persona","Individual","Individual","Una adolescente, junto con la Asesora de Incapaces, solicitó la exclusión del hogar de su padre en los términos de la ley de violencia familiar 12.569, la que le fue rechazada por entender el juez de trámite -entre otras cosas- que la menor representada no se encontraba facultada para requerir la tutela pretendida, así como que la peticionante debería ocurrir ante el fuero pertinente. La Suprema Corte ordenó reenviar la causa a la instancia de origen para que en el plazo de 48 horas, arbitre los medios necesarios para el urgente dictado de una nueva decisión que aborde los puntos centrales en debate.","1","1","Juan Carlos Hitters","0","1941","65","1994","12","1994","12","1","yerro en la valoración de las circunstancias necesarias para el dictado de medidas precautorias como la se requiriera en el sub lite, destinadas a la protección de una conflictividad sensible en la que prima la eficacia (...) Por lo expuesto en el acuerdo que antecede se anula de oficio la sentencia de fs. 22 y se reenvía la causa a la instancia de origen para que, integrada como corresponda y en el plazo de 48 horas, arbitre los medios necesarios para el urgente dictado de una nueva decisión que aborde los puntos centrales en debate. A estos fines se habilitan días y horas inhábiles ","0","el Tribunal de Familia incurrió en notables falencias argumentales que impiden dar adecuada solución a la problemática traída a estos estrados.La acción que diera origen a estos obrados fue promovida por la Asesoría de Incapaces, tendiente a proteger a la menor N. L. O. y a su grupo familiar (compuesto además por cuatro hermanos, tres de ellos también menores de edad), respecto de las conductas de violencia psíquica y física que imputa al padre de la joven.","0","solo cita la normativa provincial de violancia familiar","0","Acá no se si incluso no es un no aplica porque es derecho del NNyA más que de las mujeres ","1","Rehabilitación: reenvío para dictar medidas protectivas solicitadas por la menor","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verDoc.html?idJuri=735",""
"Buenos Aires","20/9/2006","2006","Firme","0","1","1","1","0","0","0","0","0","0","Medidas protectivas","O., N. L. PROTECCION CONTRA LA VIOLENCIA FAMILIAR (LEY 12.569)","Persona","Individual","Individual","Una adolescente, junto con la Asesora de Incapaces, solicitó la exclusión del hogar de su padre en los términos de la ley de violencia familiar 12.569, la que le fue rechazada por entender el juez de trámite -entre otras cosas- que la menor representada no se encontraba facultada para requerir la tutela pretendida, así como que la peticionante debería ocurrir ante el fuero pertinente. La Suprema Corte ordenó reenviar la causa a la instancia de origen para que en el plazo de 48 horas, arbitre los medios necesarios para el urgente dictado de una nueva decisión que aborde los puntos centrales en debate.","1","1","Eduardo de Lázzari","0","1945","61","1991","15","1997","9","1","Por lo expuesto en el acuerdo que antecede se anula de oficio la sentencia de fs. 22 y se reenvía la causa a la instancia de origen para que, integrada como corresponda y en el plazo de 48 horas, arbitre los medios necesarios para el urgente dictado de una nueva decisión que aborde los puntos centrales en debate. A estos fines se habilitan días y horas inhábiles ","0","En virtud de lo expresado, considero que el a quo no brindó un contexto resguardador de los derechos de las personas que se encuentran en circunstancias desfavorables de especial vulnerabilidad, por hallarse afectados por cuestiones de violencia familiar. En tales condiciones se privó al denunciante y a su grupo familiar del acceso a la tutela judicial efectiva ","1","Por lo demás, tampoco se cumplió con el mandato constitucional de garantizar el acceso a la jurisdicción, en condiciones de igualdad; garantía que ha sido objeto de compromisos asumidos por el Estado nacional mediante la suscripción de diversos tratados internacionales sobre derechos humanos (arts. 75 inc. 22 de la Constitución nacional, 18 y 24 de la Declaración Americana de los Derechos y Deberes del Hombre; 8 y 10 de la Declaración Universal de Derechos del Hombre; 3 y 12 de la Convención de los Derechos del Niño; 8.1, 24, 25.1 Convención Americana sobre Derechos Humanos, 14.1 y 26 del Pacto Internacional de Derechos Civiles y Políticos; 2, 5, 15 y 16 de la Convención Americana para Prevenir, Sancionar y Erradicar la Violencia contra la Mujer) ","0","Acá no se si incluso no es un no aplica porque es derecho del NNyA más que de las mujeres ","1","Rehabilitación: reenvío para dictar medidas protectivas solicitadas por la menor","https://om.csjn.gov.ar/JurisprudenciaOM/consultaOM/verDoc.html?idJuri=735",""
