"presidente","anio","num_ley","tema","link"
"Marcelo T. de Alvear","1924","11317","Trabajo de las mujeres","http://servicios.infoleg.gob.ar/infolegInternet/anexos/190000-194999/194070/norma.htm#:~:text=INFOLEG&text=Ministerio%20del%20Interior%20%E2%80%94%20Ley%20N,las%20mujeres%20y%20los%20ni%C3%B1os.&text=Art%C3%ADculo%201%C2%B0%20%E2%80%94%20Queda%20prohibido,ajena%2C%20incluso%20los%20trabajos%20rurales."
"Marcelo T. de Alvear","1926","11357","Derechos civiles de las mujeres","http://servicios.infoleg.gob.ar/infolegInternet/anexos/230000-234999/232934/texact.htm"
"Juan D. Perón","1947","13010","Derechos políticos de la mujer (voto femenino)","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=47353"
"Juan D. Perón","1954","14394","Divorcio (derogada en 1955)","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=103605"
"Arturo U. Illia","1968","17711","Reforma del Código Civil reconociendo la misma capacidad civil de las mujeres y otras provisiones.","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=48953"
"Juan Carlos Onganía","1969","18037","Institución del Régimen de Jubilaciones y Pensiones para trabajadores en relación de dependencia (beneficios de jubilación a cierto grupo de mujeres y diferenciación de edad)","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=28127"
"Roberto Viola","1981","22431","Protección integral para los discapacitados (cuidados)","http://servicios.infoleg.gob.ar/infolegInternet/anexos/20000-24999/20620/norma.htm"
"Raúl Alfonsín","1984","11179","Código Penal de la Nación Argentina - Abortos permitidos por ley (practicados por un médico cuando hay riesgo de vida / violacion a mujer idiota o demente)","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=16546"
"Raúl Alfonsín","1985","23179","Aprobación de la Convención de la CEDAW","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=26305#:~:text=APRUEBASE%20LA%20CONVENCION%20SOBRE%20ELIMINACION,17%20DE%20JULIO%20DE%201980.&text=Esta%20norma%20no%20modifica%20ni%20complementa%20a%20ninguna%20norma."
"Raúl Alfonsín","1985","23264","Reforma del Código Civil reconociendo la patria potestad compartida e igualdad entre niños nacidos dentro y fuera del matrimonio","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=96343"
"Raúl Alfonsín","1987","23515","Reforma del Código Civil reconociendo el divorcio","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=21776"
"Raúl Alfonsín","1988","23592","Ley contra actos discriminatorios","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=20465"
"Carlos Menem","1990","23798","Ley de SIDA","http://servicios.infoleg.gob.ar/infolegInternet/resaltaranexos/0-4999/199/norma.htm"
"Carlos Menem","1991","24012","Ley de cuota electoral","http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/411/norma.htm"
"Carlos Menem","1994","24417","Ley de protección contra la violencia familiar","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=93554"
"Carlos Menem","1995","24515","Ley estableciendo el Instituto Nacional contra la discriminación, la xenofobia y el racismo (INADI)","http://servicios.infoleg.gob.ar/infolegInternet/verNorma.do?id=25031"
"Carlos Menem","1995","24476","""Moratoria de las Amas de Casa""","http://servicios.infoleg.gob.ar/infolegInternet/anexos/30000-34999/30341/texact.htm"
